Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
IC Porel (PBKS),2021-2021,1,4.0,0,24,39,1,1/39,39.00,9.75,24.00,0,0,0
JR Hopes (DC/KXIP),2008-2011,21,60.0,0,360,548,14,2/2,39.14,9.13,25.71,0,0,0
V Sehwag (DC/KXIP),2008-2015,104,22.4,0,136,235,6,2/18,39.16,10.36,22.66,0,0,0
ND Doshi (RCB/RR),2010-2011,4,9.2,0,56,79,2,1/15,39.50,8.46,28.00,0,0,0
D Pretorius (CSK),2022-2023,7,25.0,0,150,238,6,2/30,39.66,9.52,25.00,0,0,0
AB Agarkar (DC/KKR),2008-2013,42,130.2,0,782,1151,29,3/25,39.68,8.83,26.96,0,0,0
Shahbaz Ahmed (RCB/SRH),2020-2024,55,89.3,0,537,837,21,3/7,39.85,9.35,25.57,0,0,0
AD Mathews (DC/KKR/PWI),2009-2017,49,131.5,0,791,1079,27,4/19,39.96,8.18,29.29,1,0,0
T Henderson (RR),2009-2009,2,6.0,0,36,40,1,1/30,40.00,6.66,36.00,0,0,0
AJ Hosein (SRH),2023-2023,1,4.0,0,24,40,1,1/40,40.00,10.00,24.00,0,0,0
AA Noffke (RCB),2008-2008,1,4.0,0,24,40,1,1/40,40.00,10.00,24.00,0,0,0
B Akhil (Kochi/RCB),2008-2011,15,31.2,0,188,242,6,2/17,40.33,7.72,31.33,0,0,0
S Narwal (KKR/RR),2010-2013,7,17.4,0,106,202,5,3/36,40.40,11.43,21.20,0,0,0
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,92.2,0,554,729,18,3/21,40.50,7.89,30.77,0,0,0
RR Powar (Kochi/KXIP),2008-2012,27,71.0,0,426,527,13,2/11,40.53,7.42,32.76,0,0,0
AA Chavan (RR),2011-2013,13,41.2,0,248,326,8,2/23,40.75,7.88,31.00,0,0,0
Shivam Sharma (KXIP),2014-2015,5,19.0,0,114,165,4,2/26,41.25,8.68,28.50,0,0,0
C Green (MI/RCB),2023-2024,29,73.1,0,439,664,16,2/12,41.50,9.07,27.43,0,0,0
AN Ahmed (MI/RCB),2010-2015,17,57.2,1,344,498,12,2/13,41.50,8.68,28.66,0,0,0
R Shukla (DC/MI/RR),2012-2014,7,20.0,0,120,208,5,2/28,41.60,10.40,24.00,0,0,0
JDS Neesham (DC/KXIP/MI/RR),2014-2022,14,36.0,0,216,334,8,3/12,41.75,9.27,27.00,0,0,0
K Yadav (RR),2021-2023,3,9.0,0,54,84,2,1/18,42.00,9.33,27.00,0,0,0
SS Agarwal (GL),2017-2017,1,4.0,0,24,42,1,1/42,42.00,10.50,24.00,0,0,0
PM Sarvesh Kumar (DCH),2008-2008,2,5.0,0,30,42,1,1/18,42.00,8.40,30.00,0,0,0
BB Sran (KXIP/MI/RR/SRH),2015-2019,24,80.3,0,483,757,18,3/28,42.05,9.40,26.83,0,0,0
NA Saini (RCB/RR),2019-2023,32,109.4,1,658,974,23,3/40,42.34,8.88,28.60,0,0,0
Lalit Yadav (DC),2021-2024,27,48.0,0,288,425,10,2/11,42.50,8.85,28.80,0,0,0
Shoaib Malik (DC),2008-2008,7,8.3,0,51,85,2,1/6,42.50,10.00,25.50,0,0,0
Pankaj Singh (RCB/RR),2008-2012,17,50.0,1,300,468,11,2/18,42.54,9.36,27.27,0,0,0
BCJ Cutting (MI/RR/SRH),2014-2019,21,46.5,0,281,429,10,2/20,42.90,9.16,28.10,0,0,0
JJ van der Wath (RCB),2011-2011,3,12.0,0,72,129,3,2/49,43.00,10.75,24.00,0,0,0
K Khejroliya (KKR/RCB),2018-2023,7,20.1,0,121,217,5,2/33,43.40,10.76,24.20,0,0,0
KC Cariappa (KKR/KXIP),2015-2019,11,36.0,0,216,348,8,2/16,43.50,9.66,27.00,0,0,0
VS Malik (KXIP/RR),2009-2014,13,34.1,0,205,261,6,2/14,43.50,7.63,34.16,0,0,0
D Kalyankrishna (DCH),2008-2008,3,8.0,0,48,87,2,1/30,43.50,10.87,24.00,0,0,0
B Lee (KKR/KXIP),2008-2013,38,145.5,3,875,1095,25,3/15,43.80,7.50,35.00,0,0,0
JPR Scantlebury-Searles (KKR),2018-2018,4,7.0,0,42,89,2,1/24,44.50,12.71,21.00,0,0,0
SK Raina (CSK/GL),2008-2021,205,151.2,0,908,1118,25,2/0,44.72,7.38,36.32,0,0,0
M Kartik (KKR/KXIP/PWI/RCB),2008-2014,56,191.4,1,1150,1388,31,3/17,44.77,7.24,37.09,0,0,0
S Ladda (DC/GL/KKR),2010-2016,9,23.0,0,138,224,5,2/44,44.80,9.73,27.60,0,0,0
GHS Garton (RCB),2021-2021,5,15.0,0,90,135,3,1/27,45.00,9.00,30.00,0,0,0
R McLaren (KKR/KXIP/MI),2010-2013,18,59.0,0,354,542,12,2/28,45.16,9.18,29.50,0,0,0
VRV Singh (KXIP),2008-2010,19,60.0,0,360,542,12,3/29,45.16,9.03,30.00,0,0,0
DJ Willey (CSK/RCB),2018-2023,11,36.0,1,216,272,6,2/16,45.33,7.55,36.00,0,0,0
Akash Singh (CSK/RR),2021-2023,7,23.0,0,138,227,5,2/40,45.40,9.86,27.60,0,0,0
AU Rashid (PBKS/SRH),2021-2023,3,10.0,0,60,91,2,2/23,45.50,9.10,30.00,0,0,0
Akash Deep (RCB),2022-2024,8,27.2,1,164,319,7,3/45,45.57,11.67,23.42,0,0,0
Azmatullah Omarzai (GT),2024-2024,7,21.0,0,126,186,4,2/27,46.50,8.85,31.50,0,0,0
AF Milne (CSK/MI/RCB),2016-2022,10,34.3,0,207,327,7,2/21,46.71,9.47,29.57,0,0,0
Gagandeep Singh (KXIP),2008-2008,4,14.0,0,84,141,3,1/33,47.00,10.07,28.00,0,0,0
Sikandar Raza (PBKS),2023-2024,9,14.0,0,84,141,3,1/19,47.00,10.07,28.00,0,0,0
RN ten Doeschate (KKR),2011-2015,29,13.0,0,78,94,2,1/7,47.00,7.23,39.00,0,0,0
GH Vihari (DC/SRH),2013-2019,24,7.0,0,42,47,1,1/5,47.00,6.71,42.00,0,0,0
CJ Anderson (DC/MI/RCB),2014-2018,30,49.3,0,297,518,11,2/18,47.09,10.46,27.00,0,0,0
Kartik Tyagi (GT/RR/SRH),2020-2024,20,70.2,0,422,713,15,2/29,47.53,10.13,28.13,0,0,0
VR Iyer (KKR),2021-2024,51,13.3,0,81,143,3,2/29,47.66,10.59,27.00,0,0,0
PVD Chameera (KKR/LSG),2022-2024,13,47.0,0,282,432,9,2/17,48.00,9.19,31.33,0,0,0
AL Menaria (RR),2011-2013,29,18.2,0,110,144,3,2/20,48.00,7.85,36.66,0,0,0
P Sahu (KXIP),2016-2016,5,17.3,0,105,146,3,2/18,48.66,8.34,35.00,0,0,0
S Tyagi (CSK),2009-2010,14,34.5,0,209,295,6,2/18,49.16,8.46,34.83,0,0,0
S Kaushik (GL),2016-2017,10,34.0,0,204,297,6,3/20,49.50,8.73,34.00,0,0,0
DNT Zoysa (DCH),2008-2008,3,11.0,0,66,99,2,1/30,49.50,9.00,33.00,0,0,0
DP Vijaykumar (DCH),2008-2008,9,25.2,0,152,199,4,1/17,49.75,7.85,38.00,0,0,0
